Date,BCHAIN/DIFF,BCHAIN/AVBLS,BCHAIN/HRATE,BCHAIN/TOTBC
2009-09-05,1.0,0.000215842105263158,3.57913941333e-06,1116850.0
2009-09-06,1.0,0.000224541395138,3.57913941333333e-06,1120750.0
2009-09-07,1.0,0.000205748008959,3.28087779556e-06,1120900.0
2009-09-08,1.0,0.000215768115942029,2.88319563852e-06,1126950.0
2009-09-09,1.0,0.000205899848313,2.88319563851852e-06,1130000.0
2009-09-10,1.0,0.000205797307632,3.38029833481e-06,1133400.0
2009-09-11,1.0,0.000215820895522388,3.5294291437e-06,1136950.0
2009-09-12,1.0,0.000205843789237,3.5294291437037e-06,1140450.0
2009-09-13,1.0,0.000205887688531,4.02653184e-06,1144500.0
2009-09-14,1.0,0.000215851351351351,2.78377509926e-06,1143850.0
2009-09-15,1.0,0.000209446611076,2.78377509925926e-06,1150200.0
2009-09-16,1.0,0.000339393156121,4.12595237926e-06,1154350.0
2009-09-17,1.0,0.000354226190476191,4.02653184e-06,1158400.0
2009-09-18,1.0,0.000205966788278,4.02653184e-06,1161950.0
2009-09-19,1.0,0.00020596950869,3.92711130074e-06,1165900.0
2009-09-20,1.0,0.000215987179487179,3.6785599525899998e-06,1166650.0
2009-09-21,1.0,0.000232472139246,3.67855995259259e-06,1171300.0
2009-09-22,1.0,0.000368330213759,1.34217728e-06,1172650.0
2009-09-23,1.0,0.000215742857142857,4.07624210963e-06,1176750.0
2009-09-24,1.0,0.000234804153442,4.07624210962963e-06,1181750.0
2009-09-25,1.0,0.000205496524243,4.67276534519e-06,1186450.0
2009-09-26,1.0,0.00021546,4.42421399704e-06,1190900.0
2009-09-27,1.0,0.000205939466303,4.42421399703704e-06,1189400.0
2009-09-28,1.0,0.00026322560138,4.12595237926e-06,1199450.0
2009-09-29,1.0,0.000272613636363636,4.32479345778e-06,1203800.0
2009-09-30,1.0,0.00020585901597,4.32479345777778e-06,1208050.0
2009-10-01,1.0,0.000220934549967,3.7282702222199996e-06,1211800.0
2009-10-02,1.0,0.000232222222222222,2.88319563852e-06,1214700.0
2009-10-03,1.0,0.000205602802214,2.88319563851852e-06,1213100.0
2009-10-04,1.0,0.000205747012434,2.88319563852e-06,1220650.0
2009-10-05,1.0,0.000215763636363636,2.0381210548099998e-06,1222700.0
2009-10-06,1.0,0.000205769258387,2.03812105481482e-06,1225250.0
2009-10-07,1.0,0.000205503191267,3.47971887407e-06,1228750.0
2009-10-08,1.0,0.000215471428571428,3.8774010311099995e-06,1232650.0
2009-10-09,1.0,0.000205783100871,3.87740103111111e-06,1236500.0
