date,open,high,low,close,volume,market cap,textBlob_polarity,textBlob_subjectivity,vader_compound,vader_negative_score,vader_neutral_score,vader_positive_score,finBert_text_positive_score,finBert_text_negative_score,finBert_text_neutral_score,finBert_title_positive_score,finBert_title_negative_score,finBert_title_neutral_score,num_art,finbert_text_label,finbert_title_label,textBlob_label,vader_label,lm_label
2022-11-07,338.8971581186572,344.0419008844132,327.6837824322979,337.01455015996635,1811518273.64,53914349553.2,0.03353133608815421,0.3838148530762167,0.67288,0.0533,0.7874,0.15969999999999998,0.039099999999999996,0.043399999999999994,0.9172,0.078,0.039599999999999996,0.8826999999999999,1.6,neutral,neutral,positive,positive,positive
2022-11-06,349.28813309667686,354.48809892069227,339.19242591229744,339.38937237099634,1143505729.53,54294354064.47,0.05394283746556468,0.41929866850321396,0.78052,0.0412,0.7726,0.1868,0.0374,0.0356,0.9268,0.08,0.0374,0.8828,1.4,neutral,neutral,positive,positive,positive
2022-11-05,354.4194561736297,360.3093331889099,347.0196160657985,349.2537349775839,1231594444.52,55872507021.88,0.07435433884297514,0.45478248393021115,0.8881600000000001,0.0291,0.7578,0.21389999999999998,0.0357,0.0278,0.9364,0.082,0.0352,0.8829,1.2,neutral,neutral,positive,positive,positive
2022-11-04,329.67096574822006,358.1819973266016,328.739851183171,354.4063834218809,1938879951.62,56696907533.63,0.0947658402203856,0.4902662993572084,0.9958,0.017,0.743,0.241,0.034,0.02,0.946,0.084,0.033,0.883,1.0,neutral,neutral,positive,positive,positive
2022-11-03,320.1744328904832,338.6425828309028,318.4955648335182,329.7169851112845,1514834239.07,52747289288.93,0.1187675070028011,0.3598039215686274,0.9022,0.046,0.828,0.126,0.031,0.044,0.924,0.046,0.017,0.937,1.0,neutral,neutral,positive,positive,positive
2022-11-02,324.46798089069193,329.0394716785461,316.2809224382585,320.1505480210641,1411029750.24,51216971698.16,0.0522222222222222,0.3580555555555555,0.9712,0.113,0.679,0.208,0.168,0.036,0.796,0.027,0.023,0.95,1.0,neutral,neutral,positive,positive,positive
2022-11-01,326.27787264079114,334.2062315039641,317.9355057772109,324.57943624957267,1329110451.04,51925582974.74,0.0371794871794871,0.5897435897435896,0.9136,0.078,0.742,0.18,0.661,0.012,0.327,0.087,0.017,0.896,1.0,positive,neutral,positive,positive,positive
2022-10-31,313.67136628825887,336.7953167816416,307.6253253729618,326.3607282901006,2168405759.46,52210645189.25,0.08246655518394645,0.503458751393534,0.93405,0.0475,0.819,0.1335,0.34650000000000003,0.0175,0.6359999999999999,0.4695,0.0165,0.514,1.0,neutral,neutral,positive,positive,positive
2022-10-30,304.2299115476837,318.0692735393307,302.53436303291903,313.7547896985243,1451550019.08,50194052761.32,0.1277536231884058,0.4171739130434783,0.9545,0.017,0.896,0.087,0.032,0.023,0.945,0.852,0.016,0.132,1.0,neutral,positive,positive,positive,positive
2022-10-29,298.0037869915752,307.9149931149954,295.9452415207369,304.21796883774704,1397370727.45,48668443564.22,0.10183574879227053,0.45311594202898553,0.9238333333333334,0.011333333333333334,0.9036666666666667,0.08499999999999999,0.029666666666666668,0.023666666666666666,0.9466666666666667,0.5953333333333334,0.014,0.3906666666666666,1.0,neutral,positive,positive,positive,positive
2022-10-28,286.841147341349,300.7217871529425,286.1366772684328,298.0141796799999,1072756218.67,47676042557.46,0.07591787439613527,0.4890579710144928,0.8931666666666667,0.005666666666666667,0.9113333333333333,0.083,0.027333333333333334,0.024333333333333335,0.9483333333333333,0.3386666666666667,0.012,0.6493333333333333,1.0,neutral,neutral,positive,positive,positive
2022-10-27,290.39200714742657,293.0694505172394,285.2253098835574,286.8441221431869,874526054.14,45889133083.98,0.05,0.525,0.8625,0.0,0.919,0.081,0.025,0.025,0.95,0.082,0.01,0.908,1.0,neutral,neutral,positive,positive,positive
2022-10-26,284.3562116370403,291.7024031008904,284.16382631325826,290.3769874064529,1017326050.67,46454401105.13,-0.009765624999999951,0.4847656250000001,0.89055,0.036,0.863,0.10099999999999999,0.162,0.0235,0.8145,0.07300000000000001,0.013500000000000002,0.9135,1.0,neutral,neutral,negative,positive,positive
2022-10-25,273.9513544696673,289.60181865691925,272.36652262004816,284.43251998233745,940035658.97,45503479950.61,-0.0695312499999999,0.4445312500000001,0.9186,0.072,0.807,0.121,0.299,0.022,0.679,0.064,0.017,0.919,1.0,neutral,neutral,negative,positive,positive
2022-10-24,276.00076757001926,276.87546386870287,271.8848797022809,273.9774074262277,535946813.79,43830941988.53,-0.051988636363636306,0.3822916666666667,0.85476,0.07579999999999999,0.8024,0.12179999999999999,0.2412,0.21140000000000003,0.5474000000000001,0.060200000000000004,0.034,0.9058,1.0,neutral,neutral,negative,positive,positive
2022-10-23,270.4799658832751,276.5697826223759,269.1025484480312,276.00817897718747,483765500.26,44155896392.93,-0.03444602272727271,0.32005208333333335,0.79092,0.07959999999999999,0.7978000000000001,0.1226,0.1834,0.40080000000000005,0.41580000000000006,0.0564,0.051,0.8926000000000001,1.0,neutral,neutral,negative,positive,positive
2022-10-22,270.03308693286147,271.00741928616327,268.56688814978213,270.47948304066347,391459295.88,43271477489.63,-0.016903409090909104,0.2578125,0.72708,0.0834,0.7932,0.1234,0.1256,0.5902000000000001,0.28420000000000006,0.0526,0.068,0.8794,1.0,negative,neutral,negative,positive,positive
2022-10-21,269.2449018427648,271.0479240294013,264.5229714451317,270.0384322745063,593811686.54,43200999361.33,0.0006392045454544984,0.19557291666666665,0.66324,0.0872,0.7886000000000001,0.1242,0.0678,0.7796,0.1526,0.048799999999999996,0.08499999999999999,0.8662,1.0,negative,neutral,positive,positive,positive
2022-10-20,271.95372718520304,273.2851683573761,267.8604805695852,269.271257394713,539795617.33,43352990986.74,0.0181818181818181,0.1333333333333333,0.5994,0.091,0.784,0.125,0.01,0.969,0.021,0.045,0.102,0.853,1.0,negative,neutral,positive,positive,positive
2022-10-19,273.2234571967892,273.647704921953,270.6843549602386,271.9813480581864,497761035.09,43789393911.3,0.06776357323232317,0.2827132936507937,0.7270333333333334,0.091,0.7736666666666667,0.13533333333333333,0.017,0.8466666666666667,0.13633333333333336,0.04666666666666667,0.073,0.8803333333333333,1.0,negative,neutral,positive,positive,positive
2022-10-18,275.5345169356507,275.81524060693,270.53319292212166,273.21455428269576,599934776.01,44079687877.9,0.11734532828282823,0.432093253968254,0.8546666666666667,0.091,0.7633333333333333,0.14566666666666667,0.024,0.7243333333333333,0.2516666666666667,0.04833333333333333,0.044,0.9076666666666667,1.0,negative,neutral,positive,positive,positive
2022-10-17,272.50193683144147,275.8415272501783,270.4273464164928,275.5125748919386,594844794.5,44450444228.92,0.1669270833333333,0.5814732142857143,0.9823,0.091,0.753,0.156,0.031,0.602,0.367,0.05,0.015,0.935,1.0,negative,neutral,positive,positive,positive
2022-10-16,268.4115804977468,273.74303235519966,268.362302544524,272.5199649627117,563344665.81,43967624739.43,0.15668566905929035,0.5426018323996266,0.9731,0.08125,0.763375,0.15525,0.13499999999999995,0.47224999999999995,0.39275,0.15412499999999996,0.016,0.8300000000000001,1.25,negative,neutral,positive,positive,positive
2022-10-15,269.55903327104454,271.36449545846364,267.8848275582954,268.40408528691023,491674297.83,43303579985.56,0.1464442547852474,0.5037304505135388,0.9639,0.07150000000000001,0.7737499999999999,0.1545,0.239,0.3425,0.4185,0.25825,0.017,0.7250000000000001,1.5,neutral,neutral,positive,positive,positive
2022-10-14,271.8459266131074,276.52887212012524,268.3430097343421,269.56717875263223,809144929.57,43491230299.71,0.13620284051120446,0.464859068627451,0.9547,0.061750000000000006,0.784125,0.15375,0.34299999999999997,0.21275,0.44425000000000003,0.362375,0.018,0.62,1.75,neutral,neutral,positive,positive,positive
2022-10-13,270.95872025684594,273.4926489750045,257.9745108445747,271.8514210798359,1124480167.14,43859763700.45,0.1259614262371615,0.4259876867413633,0.9455,0.052000000000000005,0.7945,0.153,0.447,0.08299999999999999,0.47000000000000003,0.4665,0.019,0.515,2.0,neutral,neutral,positive,positive,positive
2022-10-12,271.4066258824332,272.7352155138401,269.6601462511066,270.9710015904528,546926290.51,43717719231.42,0.11334757610709165,0.4199963051174124,0.8362529411764708,0.056117647058823536,0.7944117647058824,0.149,0.42288235294117643,0.09123529411764705,0.4858823529411765,0.44247058823529417,0.019705882352941177,0.5382941176470588,1.9411764705882353,neutral,neutral,positive,positive,positive
2022-10-11,271.73153108519534,273.6628327881352,268.44685032700204,271.37141049757355,584301467.51,43782320107.81,0.10073372597702179,0.41400492349346163,0.7270058823529413,0.06023529411764707,0.7943235294117647,0.145,0.3987647058823529,0.09947058823529412,0.501764705882353,0.41844117647058826,0.02041176470588235,0.5615882352941177,1.8823529411764706,neutral,neutral,positive,positive,positive
2022-10-10,278.2445744243328,279.0643149282729,271.80606510578355,271.80606510578355,655201927.59,43852446091.82,0.08811987584695197,0.4080135418695108,0.6177588235294118,0.06435294117647058,0.794235294117647,0.14100000000000001,0.3746470588235294,0.10770588235294117,0.5176470588235295,0.3944117647058824,0.02111764705882353,0.5848823529411765,1.8235294117647058,neutral,neutral,positive,positive,positive
2022-10-09,276.4495473724911,279.28002546719824,275.4630302463202,278.238054784198,570350813.94,44890165689.9,0.07550602571688211,0.4020221602455599,0.5085117647058823,0.06847058823529412,0.7941470588235294,0.137,0.35052941176470587,0.11594117647058823,0.5335294117647059,0.3703823529411765,0.021823529411764707,0.6081764705882353,1.7647058823529411,neutral,neutral,positive,positive,positive
2022-10-08,282.994187451562,282.994187451562,276.04987520310374,276.4695673129703,604706996.55,44604842765.02,0.06289217558681226,0.3960307786216091,0.3992647058823531,0.07258823529411765,0.7940588235294118,0.133,0.32641176470588235,0.12417647058823529,0.5494117647058824,0.34635294117647064,0.02252941176470588,0.6314705882352942,1.7058823529411766,neutral,neutral,positive,neutral,positive
2022-10-07,286.77193152903374,286.95861878482464,280.1914745185319,283.18267456479884,952606066.09,45687917102.43,0.050278325456742406,0.39003939699765827,0.2900176470588236,0.07670588235294118,0.7939705882352941,0.129,0.3022941176470588,0.13241176470588234,0.5652941176470588,0.32232352941176473,0.02323529411764706,0.6547647058823529,1.6470588235294117,neutral,neutral,positive,neutral,positive
2022-10-06,294.1552653500096,297.6993658181447,279.80355321545,286.6341554649682,1010110226.58,46244769577.57,0.03766447532667258,0.3840480153737075,0.18077058823529413,0.08082352941176471,0.7938823529411765,0.125,0.2781764705882353,0.1406470588235294,0.5811764705882353,0.2982941176470589,0.023941176470588237,0.6780588235294118,1.5882352941176472,neutral,neutral,positive,neutral,positive
